squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
West Brom,Tottenham,home,3,195,18,20,15,20,-5
Tottenham,West Brom,away,0,195,20,18,20,15,5
West Ham,Stoke,home,3,196,25,20,22,20,2
Stoke,West Ham,away,0,196,20,25,20,22,-2
Man United,Middlesbrough,home,3,197,38,20,35,20,15
Middlesbrough,Man United,away,0,197,20,38,20,35,-15
Hull,Aston Villa,home,0,198,27,38,27,35,-8
Aston Villa,Hull,away,3,198,38,27,35,27,8
Arsenal,Bolton,home,3,199,38,23,35,23,12
Bolton,Arsenal,away,0,199,23,38,23,35,-12
Aston Villa,West Brom,home,3,200,41,18,38,18,20
West Brom,Aston Villa,away,0,200,18,41,18,38,-20
Everton,Hull,home,3,201,35,27,32,27,5
Hull,Everton,away,0,201,27,35,27,32,-5
Middlesbrough,Sunderland,home,1,202,21,23,20,22,-2
Sunderland,Middlesbrough,away,1,202,23,21,22,20,2
Newcastle,West Ham,home,1,203,23,26,22,25,-3
West Ham,Newcastle,away,1,203,26,23,25,22,3
Stoke,Liverpool,home,1,204,21,46,20,45,-25
Liverpool,Stoke,away,1,204,46,21,45,20,25
Man United,Chelsea,home,3,205,41,42,38,42,-4
Chelsea,Man United,away,0,205,42,41,42,38,4
Wigan,Tottenham,home,3,206,31,20,28,20,8
Tottenham,Wigan,away,0,206,20,31,20,28,-8
Man United,Wigan,home,3,207,44,31,41,31,10
Wigan,Man United,away,0,207,31,44,31,41,-10
Blackburn,Newcastle,home,3,208,21,23,18,23,-5
Newcastle,Blackburn,away,0,208,23,21,23,18,5
Bolton,Man United,home,0,209,23,47,23,44,-21
Man United,Bolton,away,3,209,47,23,44,23,21
Chelsea,Stoke,home,3,210,45,21,42,21,21
Stoke,Chelsea,away,0,210,21,45,21,42,-21
Hull,Arsenal,home,0,211,27,41,27,38,-11
Arsenal,Hull,away,3,211,41,27,38,27,11
Man City,Wigan,home,3,212,25,31,22,31,-9
Wigan,Man City,away,0,212,31,25,31,22,9
Sunderland,Aston Villa,home,0,213,23,44,23,41,-18
Aston Villa,Sunderland,away,3,213,44,23,41,23,18
West Brom,Middlesbrough,home,3,214,21,21,18,21,-3
Middlesbrough,West Brom,away,0,214,21,21,21,18,3
Tottenham,Portsmouth,home,1,215,21,24,20,23,-3
Portsmouth,Tottenham,away,1,215,24,21,23,20,3
West Ham,Fulham,home,3,216,29,26,26,26,0
Fulham,West Ham,away,0,216,26,29,26,26,0
Liverpool,Everton,home,1,217,47,36,46,35,11
Everton,Liverpool,away,1,217,36,47,35,46,-11
Portsmouth,Aston Villa,home,0,218,24,47,24,44,-20
Aston Villa,Portsmouth,away,3,218,47,24,44,24,20
Sunderland,Fulham,home,3,219,26,26,23,26,-3
Fulham,Sunderland,away,0,219,26,26,26,23,3
Tottenham,Stoke,home,3,220,24,21,21,21,0
Stoke,Tottenham,away,0,220,21,24,21,21,0
West Brom,Man United,home,0,221,21,50,21,47,-26
Man United,West Brom,away,3,221,50,21,47,21,26
Blackburn,Bolton,home,1,222,22,24,21,23,-2
Bolton,Blackburn,away,1,222,24,22,23,21,2
Chelsea,Middlesbrough,home,3,223,48,21,45,21,24
Middlesbrough,Chelsea,away,0,223,21,48,21,45,-24
Everton,Arsenal,home,1,224,37,42,36,41,-5
Arsenal,Everton,away,1,224,42,37,41,36,5
Man City,Newcastle,home,3,225,28,23,25,23,2
Newcastle,Man City,away,0,225,23,28,23,25,-2
West Ham,Hull,home,3,226,32,27,29,27,2
Hull,West Ham,away,0,226,27,32,27,29,-2
Wigan,Liverpool,home,1,227,32,48,31,47,-16
Liverpool,Wigan,away,1,227,48,32,47,31,16
Arsenal,West Ham,home,1,228,43,33,42,32,10
West Ham,Arsenal,away,1,228,33,43,32,42,-10
Aston Villa,Wigan,home,1,229,48,33,47,32,15
Wigan,Aston Villa,away,1,229,33,48,32,47,-15
Bolton,Tottenham,home,3,230,27,24,24,24,0
Tottenham,Bolton,away,0,230,24,27,24,24,0
Fulham,Portsmouth,home,3,231,29,24,26,24,2
Portsmouth,Fulham,away,0,231,24,29,24,26,-2
Hull,West Brom,home,1,232,28,22,27,21,6
West Brom,Hull,away,1,232,22,28,21,27,-6
Man United,Everton,home,3,233,53,37,50,37,13
Everton,Man United,away,0,233,37,53,37,50,-13
Middlesbrough,Blackburn,home,1,234,22,23,21,22,-1
Blackburn,Middlesbrough,away,1,234,23,22,22,21,1
Stoke,Man City,home,3,235,24,28,21,28,-7
Man City,Stoke,away,0,235,28,24,28,21,7
Liverpool,Chelsea,home,3,236,51,48,48,48,0
Chelsea,Liverpool,away,0,236,48,51,48,48,0
Newcastle,Sunderland,home,1,237,24,27,23,26,-3
Sunderland,Newcastle,away,1,237,27,24,26,23,3
Blackburn,Aston Villa,home,0,238,23,51,23,48,-25
Aston Villa,Blackburn,away,3,238,51,23,48,23,25
Chelsea,Hull,home,1,239,49,29,48,28,20
Hull,Chelsea,away,1,239,29,49,28,48,-20
Everton,Bolton,home,3,240,40,27,37,27,10
Bolton,Everton,away,0,240,27,40,27,37,-10
Man City,Middlesbrough,home,3,241,31,22,28,22,6
Middlesbrough,Man City,away,0,241,22,31,22,28,-6
Portsmouth,Liverpool,home,0,242,24,54,24,51,-27
Liverpool,Portsmouth,away,3,242,54,24,51,24,27
Sunderland,Stoke,home,3,243,30,24,27,24,3
Stoke,Sunderland,away,0,243,24,30,24,27,-3
West Brom,Newcastle,home,0,244,22,27,22,24,-2
Newcastle,West Brom,away,3,244,27,22,24,22,2
Wigan,Fulham,home,1,245,34,30,33,29,4
Fulham,Wigan,away,1,245,30,34,29,33,-4
Tottenham,Arsenal,home,1,246,25,44,24,43,-19
Arsenal,Tottenham,away,1,246,44,25,43,24,19
West Ham,Man United,home,0,247,33,56,33,53,-20
Man United,West Ham,away,3,247,56,33,53,33,20
Portsmouth,Man City,home,3,248,27,31,24,31,-7
Man City,Portsmouth,away,0,248,31,27,31,24,7
Man United,Fulham,home,3,249,59,30,56,30,26
Fulham,Man United,away,0,249,30,59,30,56,-26
Arsenal,Sunderland,home,1,250,45,31,44,30,14
Sunderland,Arsenal,away,1,250,31,45,30,44,-14
Aston Villa,Chelsea,home,0,251,51,52,51,49,2
Chelsea,Aston Villa,away,3,251,52,51,49,51,-2
Bolton,West Ham,home,3,252,30,33,27,33,-6
West Ham,Bolton,away,0,252,33,30,33,27,6
Man United,Blackburn,home,3,253,62,23,59,23,36
Blackburn,Man United,away,0,253,23,62,23,59,-36
Middlesbrough,Wigan,home,1,254,23,35,22,34,-12
Wigan,Middlesbrough,away,1,254,35,23,34,22,12
Stoke,Portsmouth,home,1,255,25,28,24,27,-3
Portsmouth,Stoke,away,1,255,28,25,27,24,3
Fulham,West Brom,home,3,256,33,22,30,22,8
West Brom,Fulham,away,0,256,22,33,22,30,-8
Liverpool,Man City,home,1,257,55,32,54,31,23
Man City,Liverpool,away,1,257,32,55,31,54,-23
Newcastle,Everton,home,1,258,28,41,27,40,-13
Everton,Newcastle,away,1,258,41,28,40,27,13
Hull,Tottenham,home,0,259,29,28,29,25,4
Tottenham,Hull,away,3,259,28,29,25,29,-4
Arsenal,Fulham,home,1,260,46,34,45,33,12
Fulham,Arsenal,away,1,260,34,46,33,45,-12
Chelsea,Wigan,home,3,261,55,35,52,35,17
Wigan,Chelsea,away,0,261,35,55,35,52,-17
Everton,West Brom,home,3,262,44,22,41,22,19
West Brom,Everton,away,0,262,22,44,22,41,-19
Middlesbrough,Liverpool,home,3,263,26,55,23,55,-32
Liverpool,Middlesbrough,away,0,263,55,26,55,23,32
Aston Villa,Stoke,home,1,264,52,26,51,25,26
Stoke,Aston Villa,away,1,264,26,52,25,51,-26
Bolton,Newcastle,home,3,265,33,28,30,28,2
Newcastle,Bolton,away,0,265,28,33,28,30,-2
Hull,Blackburn,home,0,266,29,26,29,23,6
Blackburn,Hull,away,3,266,26,29,23,29,-6
West Ham,Man City,home,3,267,36,32,33,32,1
Man City,West Ham,away,0,267,32,36,32,33,-1
Liverpool,Sunderland,home,3,268,58,31,55,31,24
Sunderland,Liverpool,away,0,268,31,58,31,55,-24
Portsmouth,Chelsea,home,0,269,28,58,28,55,-27
Chelsea,Portsmouth,away,3,269,58,28,55,28,27
West Brom,Arsenal,home,0,270,22,49,22,46,-24
Arsenal,West Brom,away,3,270,49,22,46,22,24
Blackburn,Everton,home,1,271,27,45,26,44,-18
Everton,Blackburn,away,1,271,45,27,44,26,18
Fulham,Hull,home,0,272,34,32,34,29,5
Hull,Fulham,away,3,272,32,34,29,34,-5
Man City,Aston Villa,home,3,273,35,52,32,52,-20
Aston Villa,Man City,away,0,273,52,35,52,32,20
Newcastle,Man United,home,0,274,28,65,28,62,-34
Man United,Newcastle,away,3,274,65,28,62,28,34
Stoke,Bolton,home,3,275,29,33,26,33,-7
Bolton,Stoke,away,0,275,33,29,33,26,7
Tottenham,Middlesbrough,home,3,276,31,26,28,26,2
Middlesbrough,Tottenham,away,0,276,26,31,26,28,-2
Wigan,West Ham,home,0,277,35,39,35,36,-1
West Ham,Wigan,away,3,277,39,35,36,35,1
Sunderland,Tottenham,home,1,278,32,32,31,31,0
Tottenham,Sunderland,away,1,278,32,32,31,31,0
Fulham,Blackburn,home,0,279,34,30,34,27,7
Blackburn,Fulham,away,3,279,30,34,27,34,-7
Arsenal,Blackburn,home,3,280,52,30,49,30,19
Blackburn,Arsenal,away,0,280,30,52,30,49,-19
Bolton,Fulham,home,0,281,33,37,33,34,-1
Fulham,Bolton,away,3,281,37,33,34,33,1
Everton,Stoke,home,3,282,48,29,45,29,16
Stoke,Everton,away,0,282,29,48,29,45,-16
Hull,Newcastle,home,1,283,33,29,32,28,4
Newcastle,Hull,away,1,283,29,33,28,32,-4
Man United,Liverpool,home,0,284,65,61,65,58,7
Liverpool,Man United,away,3,284,61,65,58,65,-7
Middlesbrough,Portsmouth,home,1,285,27,29,26,28,-2
Portsmouth,Middlesbrough,away,1,285,29,27,28,26,2
Sunderland,Wigan,home,0,286,32,38,32,35,-3
Wigan,Sunderland,away,3,286,38,32,35,32,3
Aston Villa,Tottenham,home,0,287,52,35,52,32,20
Tottenham,Aston Villa,away,3,287,35,52,32,52,-20
Chelsea,Man City,home,3,288,61,35,58,35,23
Man City,Chelsea,away,0,288,35,61,35,58,-23
West Ham,West Brom,home,1,289,40,23,39,22,17
West Brom,West Ham,away,1,289,23,40,22,39,-17
Blackburn,West Ham,home,1,290,31,41,30,40,-10
West Ham,Blackburn,away,1,290,41,31,40,30,10
Fulham,Man United,home,3,291,40,65,37,65,-28
Man United,Fulham,away,0,291,65,40,65,37,28
Newcastle,Arsenal,home,0,292,29,55,29,52,-23
Arsenal,Newcastle,away,3,292,55,29,52,29,23
Portsmouth,Everton,home,3,293,32,48,29,48,-19
Everton,Portsmouth,away,0,293,48,32,48,29,19
Stoke,Middlesbrough,home,3,294,32,27,29,27,2
Middlesbrough,Stoke,away,0,294,27,32,27,29,-2
Tottenham,Chelsea,home,3,295,38,61,35,61,-26
Chelsea,Tottenham,away,0,295,61,38,61,35,26
West Brom,Bolton,home,1,296,24,34,23,33,-10
Bolton,West Brom,away,1,296,34,24,33,23,10
Liverpool,Aston Villa,home,3,297,64,52,61,52,9
Aston Villa,Liverpool,away,0,297,52,64,52,61,-9
Man City,Sunderland,home,3,298,38,32,35,32,3
Sunderland,Man City,away,0,298,32,38,32,35,-3
Wigan,Hull,home,3,299,41,33,38,33,5
Hull,Wigan,away,0,299,33,41,33,38,-5
Arsenal,Man City,home,3,300,58,38,55,38,17
Man City,Arsenal,away,0,300,38,58,38,55,-17
Blackburn,Tottenham,home,3,301,34,38,31,38,-7
Tottenham,Blackburn,away,0,301,38,34,38,31,7
Bolton,Middlesbrough,home,3,302,37,27,34,27,7
Middlesbrough,Bolton,away,0,302,27,37,27,34,-7
Fulham,Liverpool,home,0,303,40,67,40,64,-24
Liverpool,Fulham,away,3,303,67,40,64,40,24
Hull,Portsmouth,home,1,304,34,33,33,32,1
Portsmouth,Hull,away,1,304,33,34,32,33,-1
Newcastle,Chelsea,home,0,305,29,64,29,61,-32
Chelsea,Newcastle,away,3,305,64,29,61,29,32
West Brom,Stoke,home,0,306,24,35,24,32,-8
Stoke,West Brom,away,3,306,35,24,32,24,8
West Ham,Sunderland,home,3,307,44,32,41,32,9
Sunderland,West Ham,away,0,307,32,44,32,41,-9
Everton,Wigan,home,3,308,51,41,48,41,7
Wigan,Everton,away,0,308,41,51,41,48,-7
Man United,Aston Villa,home,3,309,68,52,65,52,13
Aston Villa,Man United,away,0,309,52,68,52,65,-13
Chelsea,Bolton,home,3,310,67,37,64,37,27
Bolton,Chelsea,away,0,310,37,67,37,64,-27
Liverpool,Blackburn,home,3,311,70,34,67,34,33
Blackburn,Liverpool,away,0,311,34,70,34,67,-33
Middlesbrough,Hull,home,3,312,30,34,27,34,-7
Hull,Middlesbrough,away,0,312,34,30,34,27,7
Portsmouth,West Brom,home,1,313,34,25,33,24,9
West Brom,Portsmouth,away,1,313,25,34,24,33,-9
Stoke,Newcastle,home,1,314,36,30,35,29,6
Newcastle,Stoke,away,1,314,30,36,29,35,-6
Sunderland,Man United,home,0,315,32,71,32,68,-36
Man United,Sunderland,away,3,315,71,32,68,32,36
Tottenham,West Ham,home,3,316,41,44,38,44,-6
West Ham,Tottenham,away,0,316,44,41,44,38,6
Wigan,Arsenal,home,0,317,41,61,41,58,-17
Arsenal,Wigan,away,3,317,61,41,58,41,17
Aston Villa,Everton,home,1,318,53,52,52,51,1
Everton,Aston Villa,away,1,318,52,53,51,52,-1
Man City,Fulham,home,0,319,38,43,38,40,-2
Fulham,Man City,away,3,319,43,38,40,38,2
Aston Villa,West Ham,home,1,320,54,45,53,44,9
West Ham,Aston Villa,away,1,320,45,54,44,53,-9
Middlesbrough,Fulham,home,1,321,31,44,30,43,-13
Fulham,Middlesbrough,away,1,321,44,31,43,30,13
Portsmouth,Bolton,home,3,322,37,37,34,37,-3
Bolton,Portsmouth,away,0,322,37,37,37,34,3
Stoke,Blackburn,home,3,323,39,34,36,34,2
Blackburn,Stoke,away,0,323,34,39,34,36,-2
Sunderland,Hull,home,3,324,35,34,32,34,-2
Hull,Sunderland,away,0,324,34,35,34,32,2
Man City,West Brom,home,3,325,41,25,38,25,13
West Brom,Man City,away,0,325,25,41,25,38,-13
Tottenham,Newcastle,home,3,326,44,30,41,30,11
Newcastle,Tottenham,away,0,326,30,44,30,41,-11
Liverpool,Arsenal,home,1,327,71,62,70,61,9
Arsenal,Liverpool,away,1,327,62,71,61,70,-9
Chelsea,Everton,home,1,328,68,53,67,52,15
Everton,Chelsea,away,1,328,53,68,52,67,-15
Man United,Portsmouth,home,3,329,74,37,71,37,34
Portsmouth,Man United,away,0,329,37,74,37,71,-34
Bolton,Aston Villa,home,1,330,38,55,37,54,-17
Aston Villa,Bolton,away,1,330,55,38,54,37,17
Everton,Man City,home,0,331,53,44,53,41,12
Man City,Everton,away,3,331,44,53,41,53,-12
Fulham,Stoke,home,3,332,47,39,44,39,5
Stoke,Fulham,away,0,332,39,47,39,44,-5
Hull,Liverpool,home,0,333,34,74,34,71,-37
Liverpool,Hull,away,3,333,74,34,71,34,37
Man United,Tottenham,home,3,334,77,44,74,44,30
Tottenham,Man United,away,0,334,44,77,44,74,-30
West Brom,Sunderland,home,3,335,28,35,25,35,-10
Sunderland,West Brom,away,0,335,35,28,35,25,10
West Ham,Chelsea,home,0,336,45,71,45,68,-23
Chelsea,West Ham,away,3,336,71,45,68,45,23
Arsenal,Middlesbrough,home,3,337,65,31,62,31,31
Middlesbrough,Arsenal,away,0,337,31,65,31,62,-31
Blackburn,Wigan,home,3,338,37,41,34,41,-7
Wigan,Blackburn,away,0,338,41,37,41,34,7
Newcastle,Portsmouth,home,1,339,31,38,30,37,-7
Portsmouth,Newcastle,away,1,339,38,31,37,30,7
Chelsea,Fulham,home,3,340,74,47,71,47,24
Fulham,Chelsea,away,0,340,47,74,47,71,-24
Man City,Blackburn,home,3,341,47,37,44,37,7
Blackburn,Man City,away,0,341,37,47,37,44,-7
Middlesbrough,Man United,home,0,342,31,80,31,77,-46
Man United,Middlesbrough,away,3,342,80,31,77,31,46
Portsmouth,Arsenal,home,0,343,38,68,38,65,-27
Arsenal,Portsmouth,away,3,343,68,38,65,38,27
Stoke,West Ham,home,0,344,39,48,39,45,-6
West Ham,Stoke,away,3,344,48,39,45,39,6
Tottenham,West Brom,home,3,345,47,28,44,28,16
West Brom,Tottenham,away,0,345,28,47,28,44,-16
Wigan,Bolton,home,1,346,42,39,41,38,3
Bolton,Wigan,away,1,346,39,42,38,41,-3
Liverpool,Newcastle,home,3,347,77,31,74,31,43
Newcastle,Liverpool,away,0,347,31,77,31,74,-43
Sunderland,Everton,home,0,348,35,56,35,53,-18
Everton,Sunderland,away,3,348,56,35,53,35,18
Aston Villa,Hull,home,3,349,58,34,55,34,21
Hull,Aston Villa,away,0,349,34,58,34,55,-21
Blackburn,Portsmouth,home,3,350,40,38,37,38,-1
Portsmouth,Blackburn,away,0,350,38,40,38,37,1
Bolton,Sunderland,home,1,351,40,36,39,35,4
Sunderland,Bolton,away,1,351,36,40,35,39,-4
Everton,Tottenham,home,1,352,57,48,56,47,9
Tottenham,Everton,away,1,352,48,57,47,56,-9
Fulham,Aston Villa,home,3,353,50,58,47,58,-11
Aston Villa,Fulham,away,0,353,58,50,58,47,11
Hull,Stoke,home,0,354,34,42,34,39,-5
Stoke,Hull,away,3,354,42,34,39,34,5
West Brom,Wigan,home,3,355,31,42,28,42,-14
Wigan,West Brom,away,0,355,42,31,42,28,14
West Ham,Liverpool,home,0,356,48,80,48,77,-29
Liverpool,West Ham,away,3,356,80,48,77,48,29
Arsenal,Chelsea,home,0,357,68,77,68,74,-6
Chelsea,Arsenal,away,3,357,77,68,74,68,6
Man United,Man City,home,3,358,83,47,80,47,33
Man City,Man United,away,0,358,47,83,47,80,-33
Newcastle,Middlesbrough,home,3,359,34,31,31,31,0
Middlesbrough,Newcastle,away,0,359,31,34,31,31,0
Wigan,Man United,home,0,360,42,86,42,83,-41
Man United,Wigan,away,3,360,86,42,83,42,41
Bolton,Hull,home,1,361,41,35,40,34,6
Hull,Bolton,away,1,361,35,41,34,40,-6
Everton,West Ham,home,3,362,60,48,57,48,9
West Ham,Everton,away,0,362,48,60,48,57,-9
Man United,Arsenal,home,1,363,87,69,86,68,18
Arsenal,Man United,away,1,363,69,87,68,86,-18
Middlesbrough,Aston Villa,home,1,364,32,59,31,58,-27
Aston Villa,Middlesbrough,away,1,364,59,32,58,31,27
Newcastle,Fulham,home,0,365,34,53,34,50,-16
Fulham,Newcastle,away,3,365,53,34,50,34,16
Stoke,Wigan,home,3,366,45,42,42,42,0
Wigan,Stoke,away,0,366,42,45,42,42,0
Tottenham,Man City,home,3,367,51,47,48,47,1
Man City,Tottenham,away,0,367,47,51,47,48,-1
Chelsea,Blackburn,home,3,368,80,40,77,40,37
Blackburn,Chelsea,away,0,368,40,80,40,77,-37
West Brom,Liverpool,home,0,369,31,83,31,80,-49
Liverpool,West Brom,away,3,369,83,31,80,31,49
Portsmouth,Sunderland,home,3,370,41,36,38,36,2
Sunderland,Portsmouth,away,0,370,36,41,36,38,-2
Arsenal,Stoke,home,3,371,72,45,69,45,24
Stoke,Arsenal,away,0,371,45,72,45,69,-24
Aston Villa,Newcastle,home,3,372,62,34,59,34,25
Newcastle,Aston Villa,away,0,372,34,62,34,59,-25
Blackburn,West Brom,home,1,373,41,32,40,31,9
West Brom,Blackburn,away,1,373,32,41,31,40,-9
Fulham,Everton,home,0,374,53,63,53,60,-7
Everton,Fulham,away,3,374,63,53,60,53,7
Hull,Man United,home,0,375,35,90,35,87,-52
Man United,Hull,away,3,375,90,35,87,35,52
Liverpool,Tottenham,home,3,376,86,51,83,51,32
Tottenham,Liverpool,away,0,376,51,86,51,83,-32
Man City,Bolton,home,3,377,50,41,47,41,6
Bolton,Man City,away,0,377,41,50,41,47,-6
Sunderland,Chelsea,home,0,378,36,83,36,80,-44
Chelsea,Sunderland,away,3,378,83,36,80,36,44
West Ham,Middlesbrough,home,3,379,51,32,48,32,16
Middlesbrough,West Ham,away,0,379,32,51,32,48,-16
Wigan,Portsmouth,home,3,380,45,41,42,41,1
Portsmouth,Wigan,away,0,380,41,45,41,42,-1
